"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","V1"
"3623","ENSFALG00000012686",0.00386102342766955,2.28962676600838,0.352,0.239,1,"15","ENSFALG00000012686"
"3624","ENSFALG00000012692",9.8301088052136e-49,2.5062294810033,0.771,0.368,2.94903264156408e-45,"7","ENSFALG00000012692"
"3625","ENSFALG00000012692",3.35121440567646e-07,0.346864311886126,0.524,0.379,0.00100536432170294,"4","ENSFALG00000012692"
"3626","ENSFALG00000012692",6.99192562298689e-34,0.63273809633025,0.821,0.373,2.09757768689607e-30,"11","ENSFALG00000012692"
"3627","ENSFALG00000012692",6.7175040888072e-51,1.42567684426467,0.852,0.367,2.01525122664216e-47,"10","ENSFALG00000012692"
"3628","ENSFALG00000012738",1.71708737439597e-34,1.23482451013283,0.511,0.176,5.15126212318791e-31,"13","ENSFALG00000012738"
"3629","ENSFALG00000012738",7.37237709891376e-10,2.0040102924121,0.444,0.18,2.21171312967413e-06,"15","ENSFALG00000012738"
"3630","ENSFALG00000012738",7.22239882374238e-28,3.26615662219343,0.408,0.176,2.16671964712271e-24,"9","ENSFALG00000012738"
"3631","ENSFALG00000012762",2.47012576271623e-44,5.81613654281762,0.835,0.17,7.41037728814868e-41,"14","ENSFALG00000012762"
"3632","ENSFALG00000012762",6.77133146698334e-27,0.467117310482174,0.63,0.175,2.031399440095e-23,"15","ENSFALG00000012762"
"3633","ENSFALG00000012794",7.76545534061688e-28,0.769740660400679,0.461,0.161,2.32963660218506e-24,"13","ENSFALG00000012794"
"3634","ENSFALG00000012794",1.43958425845353e-33,0.763880144199971,0.721,0.157,4.31875277536059e-30,"16","ENSFALG00000012794"
"3635","ENSFALG00000012794",5.05105560687369e-14,1.06403032235446,0.574,0.166,1.51531668206211e-10,"17","ENSFALG00000012794"
"3636","ENSFALG00000012794",1.04498516277954e-28,1.93015845320284,0.392,0.158,3.13495548833863e-25,"6","ENSFALG00000012794"
"3637","ENSFALG00000012794",1.1249210406572e-30,2.21507715323803,0.423,0.159,3.3747631219716e-27,"9","ENSFALG00000012794"
"3638","ENSFALG00000012804",8.44299530320149e-65,3.08446478910512,0.662,0.184,2.53289859096045e-61,"6","ENSFALG00000012804"
"3639","ENSFALG00000012804",3.26607040314489e-40,3.14066042828997,0.572,0.193,9.79821120943466e-37,"9","ENSFALG00000012804"
"3640","ENSFALG00000012804",2.24904240152126e-30,1.38112432540848,0.531,0.193,6.74712720456378e-27,"8","ENSFALG00000012804"
"3641","ENSFALG00000012959",2.37815796118549e-86,4.89191562316806,1,0.342,7.13447388355647e-83,"12","ENSFALG00000012959"
"3642","ENSFALG00000012959",8.3052787778894e-93,2.36415394766709,0.883,0.323,2.49158363336682e-89,"4","ENSFALG00000012959"
"3643","ENSFALG00000013020",3.41351696081664e-21,2.27943973745196,0.414,0.173,1.02405508824499e-17,"6","ENSFALG00000013020"
"3644","ENSFALG00000013020",2.02711734419918e-09,0.634688641741696,0.346,0.183,6.08135203259754e-06,"16","ENSFALG00000013020"
"3645","ENSFALG00000013020",8.729972653683e-22,0.708638590109216,0.388,0.166,2.6189917961049e-18,"2","ENSFALG00000013020"
"3646","ENSFALG00000013022",4.28691702266231e-18,0.999465621760709,0.353,0.209,1.28607510679869e-14,"9","ENSFALG00000013022"
"3647","ENSFALG00000013022",5.72618135136536e-151,2.34651330467668,0.697,0.138,1.71785440540961e-147,"0","ENSFALG00000013022"
"3648","ENSFALG00000013022",6.50192710702252e-28,0.931727918870028,0.518,0.199,1.95057813210676e-24,"8","ENSFALG00000013022"
"3649","ENSFALG00000013022",1.35365585661167e-24,0.371865333020124,0.644,0.205,4.060967569835e-21,"16","ENSFALG00000013022"
"3650","ENSFALG00000013045",4.20076616011578e-121,6.08828224305206,0.978,0.294,1.26022984803473e-117,"7","ENSFALG00000013045"
"3651","ENSFALG00000013045",1.33292557037901e-72,0.81624634014516,0.918,0.303,3.99877671113703e-69,"10","ENSFALG00000013045"
"3652","ENSFALG00000013056",1.94421870455701e-39,2.52658096308371,0.603,0.2,5.83265611367103e-36,"8","ENSFALG00000013056"
"3653","ENSFALG00000013056",8.92877559764748e-34,1.1807753989918,0.457,0.2,2.67863267929424e-30,"3","ENSFALG00000013056"
"3654","ENSFALG00000013056",2.6140335483107e-39,1.68933319148767,0.547,0.205,7.84210064493211e-36,"9","ENSFALG00000013056"
"3655","ENSFALG00000013131",0.000147320297316667,0.341937896608198,0.349,0.166,0.44196089195,"1","ENSFALG00000013131"
"3656","ENSFALG00000013131",4.82231051762619e-42,0.341592960758673,0.562,0.17,1.44669315528786e-38,"9","ENSFALG00000013131"
"3657","ENSFALG00000013131",7.43179306533809e-16,3.5091077862264,0.548,0.179,2.22953791960143e-12,"16","ENSFALG00000013131"
"3658","ENSFALG00000013131",7.61900092313662e-26,4.03300847865123,0.852,0.18,2.28570027694099e-22,"17","ENSFALG00000013131"
"3659","ENSFALG00000013160",1.76581184677481e-25,2.4084117362984,0.56,0.158,5.29743554032442e-22,"13","ENSFALG00000013160"
"3660","ENSFALG00000013160",2.17541145362484e-08,0.546607649539578,0.326,0.163,6.52623436087451e-05,"8","ENSFALG00000013160"
"3661","ENSFALG00000013160",7.1268195929833e-54,2.20359885257896,0.502,0.117,2.13804587789499e-50,"0","ENSFALG00000013160"
"3662","ENSFALG00000013161",4.16425331299611e-07,0.507471726345273,0.63,0.301,0.00124927599389883,"17","ENSFALG00000013161"
"3663","ENSFALG00000013161",2.54383606999427e-41,1.66785418507069,0.526,0.285,7.6315082099828e-38,"3","ENSFALG00000013161"
"3664","ENSFALG00000013161",4.2428609844143e-29,1.7008295477106,0.702,0.292,1.27285829532429e-25,"13","ENSFALG00000013161"
"3665","ENSFALG00000013161",6.70640570926167e-37,4.21590091623068,0.872,0.29,2.0119217127785e-33,"14","ENSFALG00000013161"
"3666","ENSFALG00000013161",7.83423214702079e-14,0.44947793732792,0.409,0.299,2.35026964410624e-10,"6","ENSFALG00000013161"
"3667","ENSFALG00000013165",5.5698906416934e-08,0.502896026968723,0.313,0.202,0.000167096719250802,"3","ENSFALG00000013165"
"3668","ENSFALG00000013165",7.07610479597895e-22,0.505964888871953,0.58,0.191,2.12283143879368e-18,"8","ENSFALG00000013165"
"3669","ENSFALG00000013165",7.41756736379303e-12,1.119239171236,0.255,0.21,2.22527020913791e-08,"13","ENSFALG00000013165"
"3670","ENSFALG00000013165",2.0377738386514e-09,1.60365999027975,0.455,0.198,6.1133215159542e-06,"7","ENSFALG00000013165"
"3671","ENSFALG00000013178",5.38242908416261e-46,7.77226535563345,0.843,0.219,1.61472872524878e-42,"15","ENSFALG00000013178"
"3672","ENSFALG00000013180",2.30580548811819e-57,0.788319214957007,0.492,0.168,6.91741646435458e-54,"0","ENSFALG00000013180"
"3673","ENSFALG00000013180",1.39551374778205e-47,1.93511750852444,0.67,0.189,4.18654124334615e-44,"8","ENSFALG00000013180"
"3674","ENSFALG00000013180",3.49639724244126e-16,1.93664938089603,0.397,0.203,1.04891917273238e-12,"6","ENSFALG00000013180"
"3675","ENSFALG00000013201",1.07394226089683e-23,0.536300494981713,0.394,0.176,3.2218267826905e-20,"14","ENSFALG00000013201"
"3676","ENSFALG00000013201",1.71348529307022e-90,2.04100453369183,0.544,0.123,5.14045587921067e-87,"0","ENSFALG00000013201"
"3677","ENSFALG00000013201",3.09087708887318e-33,1.16097527311418,0.459,0.154,9.27263126661954e-30,"2","ENSFALG00000013201"
"3678","ENSFALG00000013254",8.86891023745523e-43,0.745999123874013,0.407,0.191,2.66067307123657e-39,"3","ENSFALG00000013254"
"3679","ENSFALG00000013254",1.6016253268183e-17,1.44397280729731,0.461,0.201,4.80487598045489e-14,"13","ENSFALG00000013254"
"3680","ENSFALG00000013278",6.49704622129185e-30,0.708406269767509,0.716,0.196,1.94911386638755e-26,"14","ENSFALG00000013278"
"3681","ENSFALG00000013278",1.45457315140238e-20,1.89741074509356,0.408,0.199,4.36371945420714e-17,"9","ENSFALG00000013278"
"3682","ENSFALG00000013278",3.71945428888805e-11,0.592062293692767,0.31,0.193,1.11583628666642e-07,"0","ENSFALG00000013278"
"3683","ENSFALG00000013278",1.26143122909357e-29,2.18815032823901,0.418,0.197,3.78429368728072e-26,"6","ENSFALG00000013278"
"3684","ENSFALG00000013278",5.2419851751821e-31,1.09992575883262,0.518,0.192,1.57259555255463e-27,"8","ENSFALG00000013278"
"3685","ENSFALG00000013456",0.000443378429866787,1.40091643090384,0.262,0.25,1,"6","ENSFALG00000013456"
"3686","ENSFALG00000013456",0.0012572261697555,1.02661982972954,0.165,0.253,1,"14","ENSFALG00000013456"
"3687","ENSFALG00000013456",4.97115273139299e-08,1.05792527474905,0.531,0.235,0.00014913458194179,"8","ENSFALG00000013456"
"3688","ENSFALG00000013456",5.44375009938572e-07,1.24696495493353,0.318,0.247,0.00163312502981572,"9","ENSFALG00000013456"
"3689","ENSFALG00000013473",1.0409577602741e-13,0.491506182257251,0.433,0.249,3.12287328082231e-10,"16","ENSFALG00000013473"
"3690","ENSFALG00000013473",6.22665809861693e-09,1.61942476584812,0.349,0.251,1.86799742958508e-05,"14","ENSFALG00000013473"
"3691","ENSFALG00000013473",4.38367968250952e-29,1.22641497636546,0.481,0.24,1.31510390475286e-25,"6","ENSFALG00000013473"
"3692","ENSFALG00000013473",7.98500989592923e-102,1.79016756957919,0.631,0.192,2.39550296877877e-98,"0","ENSFALG00000013473"
"3693","ENSFALG00000013473",1.8419831809766e-13,1.25227533494355,0.453,0.244,5.52594954292979e-10,"9","ENSFALG00000013473"
"3694","ENSFALG00000013473",0.00140439053641369,0.564995421076856,0.321,0.25,1,"8","ENSFALG00000013473"
"3695","ENSFALG00000013477",0,7.1039061072355,0.984,0.241,0,"0","ENSFALG00000013477"
"3696","ENSFALG00000013493",4.10353702520632e-72,3.0654193324434,0.595,0.118,1.2310611075619e-68,"6","ENSFALG00000013493"
"3697","ENSFALG00000013493",3.82462640537537e-19,2.66603876741717,0.373,0.133,1.14738792161261e-15,"9","ENSFALG00000013493"
"3698","ENSFALG00000013532",1.90299124769072e-36,1.58159585249582,0.528,0.19,5.70897374307215e-33,"2","ENSFALG00000013532"
"3699","ENSFALG00000013532",8.48030729739043e-05,0.392797217132281,0.304,0.216,0.254409218921713,"8","ENSFALG00000013532"
"3700","ENSFALG00000013532",3.24442395721287e-30,0.641705974370061,0.382,0.206,9.73327187163862e-27,"3","ENSFALG00000013532"
"3701","ENSFALG00000013532",1.80537253383809e-27,1.28393603787124,0.38,0.195,5.41611760151428e-24,"0","ENSFALG00000013532"
"3702","ENSFALG00000013547",1.73954841664676e-67,1.99043370300242,0.741,0.173,5.21864524994027e-64,"8","ENSFALG00000013547"
"3703","ENSFALG00000013547",1.50574608479787e-12,0.277498846071858,0.298,0.187,4.5172382543936e-09,"0","ENSFALG00000013547"
"3704","ENSFALG00000013547",1.13429969041555e-27,0.344877531082927,0.654,0.191,3.40289907124664e-24,"16","ENSFALG00000013547"
"3705","ENSFALG00000013547",1.93867526318724e-26,0.342343695443281,0.313,0.193,5.81602578956173e-23,"3","ENSFALG00000013547"
"3706","ENSFALG00000013547",1.03398170262972e-31,0.873857868384712,0.498,0.188,3.10194510788916e-28,"9","ENSFALG00000013547"
